Market_ID,Market_name,population_2019,Population_growth,Income_per_capita
33903,Cinder River Lodge,10000,0,10000
33905,Lemesurier Island,10000,0,10000
33906,Tracy Arm,10000,0,10000
33908,Vrems,10000,0,10000
33909,Akolik,10000,0,10000
33910,Mels,10000,0,10000
33911,Meshik,10000,0,10000
33912,Telaquana Lake,10000,0,10000
33913,Chelatna Lake Lodge,10000,0,10000
33914,Pumice,10000,0,10000
33916,Twin Lakes,10000,0,10000
33920,Shirleyville,10000,0,10000
33921,Doug Carney Strip,10000,0,10000
33922,Shisholik,10000,0,10000
33923,Sivinuvik,10000,0,10000
33924,American Creek,10000,0,10000
33934,Port Lions,10000,0,10000
33940,Northway,10000,0,10000
33942,Noorvik,10000,0,10000
33970,Kotzebue,10000,0,10000
34013,Palmer,10000,0,10000
34021,Point Barrow,10000,0,10000
34028,Pack Creek,10000,0,10000
34037,Portage Creek,10000,0,10000
34040,Painter Creek,10000,0,10000
34042,Porcupine Creek,10000,0,10000
34046,Pedro Bay,10000,0,10000
34062,Pelican,10000,0,10000
34075,Paf Warren,10000,0,10000
34077,Port Frederick,10000,0,10000
34088,Port Graham,10000,0,10000
34102,Point Hope,10000,0,10000
34119,Pilot Point,10000,0,10000
34125,Point Lay,10000,0,10000
34129,Port San Juan,10000,0,10000
34130,Napaskiak,10000,0,10000
34167,Port Moller,10000,0,10000
34173,Paimiut,10000,0,10000
34183,Peterson's Point,10000,0,10000
34208,Polk Inlet,10000,0,10000
34218,Prospect Creek,10000,0,10000
34229,Port Protection,10000,0,10000
34234,Pilot Station,10000,0,10000
34244,Point Retreat,10000,0,10000
34256,Petersburg,10000,0,10000
34268,Port Alsworth,10000,0,10000
34269,Port Alice,10000,0,10000
34270,Port Alexander,10000,0,10000
34273,Port Heiden,10000,0,10000
34276,Port Armstrong,10000,0,10000
34279,Pleasant Harbour,10000,0,10000
34296,Prudhoe Bay,10000,0,10000
34316,Pope Vanoy,10000,0,10000
34322,Big Port Walter,10000,0,10000
34327,Port Ashton,10000,0,10000
34331,Perry Island,10000,0,10000
34412,Keyes Point,10000,0,10000
34413,Nimiuk Point,10000,0,10000
34415,Sealing Point,10000,0,10000
34464,Ugashik,10000,0,10000
34468,Brooks Lodge,10000,0,10000
34474,Ruby,10000,0,10000
34485,Red Dog,10000,0,10000
34493,Red Devil,10000,0,10000
34551,Bornite/Ruby Creek,10000,0,10000
34559,Rampart,10000,0,10000
34601,Nixon Fork Mine,10000,0,10000
34627,Russian Mission,10000,0,10000
34631,Raspberry Strait,10000,0,10000
34638,Marguerite Bay,10000,0,10000
34655,Rowan Bay,10000,0,10000
34658,Rodman Bay,10000,0,10000
34675,Sagwon,10000,0,10000
34715,Smith Cove,10000,0,10000
34718,Scammon Bay,10000,0,10000
34738,Sandpoint,10000,0,10000
34795,Saginaw Bay,10000,0,10000
34797,Skagway,10000,0,10000
34804,Shungnak,10000,0,10000
34805,Shishmaref,10000,0,10000
34816,Shageluk,10000,0,10000
34828,Sitka,10000,0,10000
34855,Sitkinak,10000,0,10000
34856,Shaktoolik,10000,0,10000
34863,Skwentna,10000,0,10000
34880,Sleetmute,10000,0,10000
34895,St. Michael,10000,0,10000
34903,Sheep Mountain,10000,0,10000
34919,St. Paul Island,10000,0,10000
34934,Solomon,10000,0,10000
34942,Seldovia,10000,0,10000
34987,Stony River,10000,0,10000
35012,St. George Island,10000,0,10000
35049,Savoonga,10000,0,10000
35061,Stevens Village,10000,0,10000
35063,Sparrevohn,10000,0,10000
35085,Sheldon Point,10000,0,10000
35086,Soldotna,10000,0,10000
35090,Shemya,10000,0,10000
35091,Seal Bay,10000,0,10000
35124,Tanana,10000,0,10000
35160,Takotna,10000,0,10000
35170,Tetlin,10000,0,10000
35171,Tatitlek,10000,0,10000
35228,Talkeetna,10000,0,10000
35231,Tenakee,10000,0,10000
35235,Tokeen,10000,0,10000
35236,Tok,10000,0,10000
35238,Taku Lodge,10000,0,10000
35248,Telida,10000,0,10000
35250,Tatalina,10000,0,10000
35257,Tuluksak,10000,0,10000
35278,Tin City,10000,0,10000
35282,Tununak,10000,0,10000
35293,Togiak,10000,0,10000
35339,Tanacross,10000,0,10000
35385,Twin Hills,10000,0,10000
35406,Tyonek,10000,0,10000
35446,Uganik,10000,0,10000
35467,Umnak,10000,0,10000
35472,Umiat,10000,0,10000
35478,Unalakleet,10000,0,10000
35494,Usibelli,10000,0,10000
35504,Utopia,10000,0,10000
35508,Kuparuk,10000,0,10000
35515,Lik Camp,10000,0,10000
35523,Calder Bay,10000,0,10000
35526,Chariot,10000,0,10000
35527,47-Mile Mine,10000,0,10000
35554,Chevak,10000,0,10000
35565,View Cove,10000,0,10000
35579,Valdez,10000,0,10000
35581,Venetie,10000,0,10000
35599,Kavik River,10000,0,10000
35671,Granite Creek Mine,10000,0,10000
35676,Marvel Creek Mine,10000,0,10000
35677,Mitrofania,10000,0,10000
35678,Mush Bay,10000,0,10000
35679,Campbell Lagoon,10000,0,10000
35680,Frazer Lake,10000,0,10000
35681,Afognak Straits,10000,0,10000
35682,Moffet Bay,10000,0,10000
35688,Jensens Strip,10000,0,10000
35689,Wildman Creek,10000,0,10000
35690,Stepovak,10000,0,10000
35692,Puale Bay,10000,0,10000
35693,Katmai Bay,10000,0,10000
35694,Kashvik Bay,10000,0,10000
35695,Cinder Mountain,10000,0,10000
35696,Hagemeister Island,10000,0,10000
